"date","npkg","nnew","ndrop"
2025-02-05,22017,8,0
2025-02-06,22025,9,1
2025-02-07,22038,14,1
2025-02-08,22040,2,0
2025-02-09,22031,0,9
2025-02-10,22038,7,0
2025-02-11,22050,16,4
2025-02-12,22051,8,7
2025-02-13,22065,16,2
2025-02-14,22066,6,5
2025-02-14,22066,0,0
2025-02-15,22067,1,0
2025-02-16,22067,0,0
2025-02-17,22086,14,10
2025-02-18,22097,12,1
2025-02-19,22108,13,2
2025-02-20,22117,11,2
2025-02-21,22130,14,1
2025-02-22,22130,0,0
2025-02-23,22127,1,4
2025-02-24,22136,9,0
2025-02-25,22146,10,0
2025-02-26,22151,5,0
2025-02-27,22163,12,0
2025-02-28,22145,2,5
2025-03-01,22144,1,2
2025-03-02,22142,0,2
2025-03-03,22152,10,0
2025-03-04,22157,5,0
2025-03-05,22172,16,1
2025-03-06,22175,6,3
2025-03-07,22187,15,3
2025-03-08,22184,0,3
2025-03-10,22189,16,11
2025-03-11,22194,7,2
2025-03-12,22197,7,4
2025-03-13,22215,19,1
2025-03-14,22231,4,3
2025-03-15,22240,9,0
2025-03-16,22240,0,0
2025-03-17,22249,11,2
2025-03-18,22262,13,0
2025-03-19,22269,9,2
2025-03-20,22268,7,8
2025-03-21,22268,7,7
2025-03-22,22274,6,0
