"date","npkg","nnew","ndrop"
2022-12-21,18974,7,2
2022-12-22,18990,16,0
2022-12-23,18998,8,0
2022-12-24,18998,0,0
2022-12-25,18998,0,0
2022-12-26,18997,0,1
2022-12-27,18993,0,4
2022-12-28,18993,0,0
2022-12-29,18993,0,0
2022-12-30,18993,0,0
2022-12-31,18992,0,1
2023-01-01,18992,0,0
2023-01-02,18992,0,0
2023-01-03,18992,0,0
2023-01-04,18992,0,0
2023-01-05,18996,4,0
2023-01-06,19005,9,0
2023-01-07,19009,4,0
2023-01-08,19018,9,0
2023-01-09,19031,20,7
2023-01-10,19015,14,30
2023-01-11,19031,18,2
2023-01-12,19045,14,0
2023-01-13,19055,11,1
2023-01-14,19057,2,0
2023-01-15,19059,2,0
2023-01-16,19070,11,0
2023-01-18,19098,31,3
2023-01-19,19097,0,1
2023-01-20,19113,16,0
2023-01-21,19113,0,0
2023-01-22,19113,2,2
2023-01-23,19121,16,8
2023-01-24,19119,13,15
2023-01-25,19120,10,9
2023-01-26,19131,16,5
2023-01-27,19141,10,0
2023-01-28,19139,1,3
2023-01-29,19139,0,0
2023-01-30,19152,14,1
2023-01-31,19153,3,2
2023-02-01,19162,10,1
2023-02-02,19161,10,11
2023-02-03,19172,11,0
2023-02-04,19170,2,4
2023-02-05,19169,0,1
2023-02-06,19176,9,2
2023-02-07,19173,2,5
2023-02-08,19181,8,0
2023-02-09,19186,7,2
2023-02-10,19192,7,1
2023-02-11,19191,10,11
2023-02-12,19196,9,4
2023-02-13,19205,9,0
2023-02-14,19218,14,1
2023-02-15,19221,6,3
2023-02-16,19231,13,3
2023-02-17,19242,12,1
2023-02-18,19240,2,4
2023-02-19,19240,0,0
2023-02-20,19247,10,3
2023-02-21,19251,7,3
2023-02-22,19265,17,3
2023-02-23,19271,9,3
2023-02-24,19281,10,0
2023-02-25,19273,2,10
2023-02-26,19267,0,6
2023-02-27,19278,19,8
2023-02-28,19287,12,3
2023-03-01,19279,14,22
2023-03-02,19276,6,9
2023-03-03,19283,7,0
2023-03-04,19298,0,0
2023-03-05,19295,0,3
2023-03-06,19300,7,2
2023-03-07,19307,7,0
